race_5cat,inc_4cat_50k,educ_4cat,ppagecat,ppgender,B2,B3,EF1,EF2,atleast_okay,weight
Hispanic,"$25,000–$49,999",Some college/technical or associates degree,25-34,Female,Just getting by,Much worse off,No,No,No,1.7359
White,"$50,000–$99,999",Less than a high school degree,25-34,Male,Doing okay,About the same,Yes,,Yes,1.5555
Black,"Less than $25,000",High school degree or GED,55-64,Male,Doing okay,About the same,No,No,Yes,1.2167
White,"$50,000–$99,999",Bachelor's degree or more,55-64,Female,Doing okay,About the same,No,Yes,Yes,1.2157
Hispanic,"Less than $25,000",High school degree or GED,65-74,Female,Finding it difficult to get by,Much worse off,No,No,No,0.9612
Hispanic,"$25,000–$49,999",Some college/technical or associates degree,65-74,Female,Just getting by,Much worse off,No,Yes,No,1.4786
White,"Less than $25,000",Some college/technical or associates degree,18-24,Male,Living comfortably,Somewhat worse off,No,No,Yes,1.5112
White,"$100,000 or more",High school degree or GED,35-44,Female,Doing okay,Somewhat worse off,No,No,Yes,1.3807
White,"Less than $25,000",Some college/technical or associates degree,25-34,Male,Just getting by,Somewhat worse off,No,No,No,0.9084
Black,"Less than $25,000",High school degree or GED,18-24,Female,Finding it difficult to get by,Somewhat worse off,No,No,No,1.0162
Black,"$50,000–$99,999",Some college/technical or associates degree,65-74,Female,Living comfortably,Much better off,Yes,,Yes,0.9179
Hispanic,"$100,000 or more",Bachelor's degree or more,45-54,Female,Living comfortably,About the same,Yes,,Yes,1.2234
Black,"Less than $25,000",Some college/technical or associates degree,18-24,Female,Doing okay,Somewhat worse off,No,No,Yes,1.3763
White,"$100,000 or more",Bachelor's degree or more,25-34,Female,Doing okay,Somewhat worse off,Yes,,Yes,1.1727
White,"$100,000 or more",Some college/technical or associates degree,25-34,Male,Doing okay,Somewhat worse off,Yes,,Yes,1.2413
Black,"$25,000–$49,999",Some college/technical or associates degree,45-54,Female,Just getting by,About the same,No,No,No,1.0544
White,"$100,000 or more",Bachelor's degree or more,55-64,Male,Living comfortably,About the same,Yes,,Yes,0.6185
Black,"$50,000–$99,999",Some college/technical or associates degree,25-34,Female,Living comfortably,Somewhat better off,Yes,,Yes,1.5129
Hispanic,"$25,000–$49,999",Less than a high school degree,35-44,Female,Finding it difficult to get by,Much worse off,No,Yes,No,2.1342
White,"$100,000 or more",Some college/technical or associates degree,18-24,Male,Living comfortably,Somewhat worse off,Yes,,Yes,1.2742
White,"Less than $25,000",Some college/technical or associates degree,18-24,Male,Living comfortably,About the same,No,Yes,Yes,1.3974
Black,"$25,000–$49,999",High school degree or GED,18-24,Female,Doing okay,Somewhat better off,No,No,Yes,1.5129
White,"$100,000 or more",Bachelor's degree or more,55-64,Male,Living comfortably,About the same,Yes,,Yes,0.6324
White,"Less than $25,000",High school degree or GED,18-24,Female,Just getting by,About the same,Yes,,No,1.4501
White,"$100,000 or more",High school degree or GED,45-54,Male,Doing okay,Somewhat worse off,No,Yes,Yes,1.3149
White,"Less than $25,000",Some college/technical or associates degree,25-34,Female,Doing okay,About the same,No,No,Yes,1.0089
Hispanic,"$100,000 or more",Bachelor's degree or more,45-54,Male,Living comfortably,Somewhat better off,Yes,,Yes,0.7022
White,"$100,000 or more",Bachelor's degree or more,35-44,Male,Just getting by,Much worse off,No,No,No,0.9328
Other,"$50,000–$99,999",High school degree or GED,35-44,Female,Doing okay,Much worse off,No,No,Yes,0.4445
White,"$50,000–$99,999",Bachelor's degree or more,45-54,Male,Doing okay,About the same,Yes,,Yes,0.4943
White,"$100,000 or more",Bachelor's degree or more,55-64,Male,Living comfortably,About the same,Yes,,Yes,0.6324
White,"Less than $25,000",Some college/technical or associates degree,18-24,Female,Living comfortably,Somewhat better off,No,Yes,Yes,1.1588
Black,"$50,000–$99,999",High school degree or GED,35-44,Male,Living comfortably,Much better off,Yes,,Yes,1.4819
Black,"$25,000–$49,999",High school degree or GED,55-64,Female,Doing okay,About the same,Yes,,Yes,1.1564
White,"$100,000 or more",High school degree or GED,55-64,Male,Doing okay,About the same,Yes,,Yes,1.1989
White,"$100,000 or more",Some college/technical or associates degree,45-54,Female,Doing okay,Somewhat better off,No,Yes,Yes,0.847
White,"$50,000–$99,999",Less than a high school degree,25-34,Male,Doing okay,Somewhat better off,Yes,,Yes,1.4533
White,"$100,000 or more",Bachelor's degree or more,45-54,Female,Finding it difficult to get by,About the same,No,No,No,0.9182
White,"Less than $25,000",Some college/technical or associates degree,18-24,Female,Living comfortably,About the same,No,Yes,Yes,1.5342
White,"Less than $25,000",Bachelor's degree or more,55-64,Male,Finding it difficult to get by,Somewhat worse off,No,No,No,0.5601
White,"Less than $25,000",Less than a high school degree,18-24,Male,Living comfortably,About the same,Yes,,Yes,2.1664
White,"$100,000 or more",Bachelor's degree or more,45-54,Male,Living comfortably,About the same,Yes,,Yes,0.7659
Asian,"$100,000 or more",Bachelor's degree or more,45-54,Male,Just getting by,Somewhat worse off,Yes,,No,1.073
Asian,"$50,000–$99,999",High school degree or GED,45-54,Male,Doing okay,Somewhat worse off,Yes,,Yes,3.5159
White,"$50,000–$99,999",Bachelor's degree or more,45-54,Female,Living comfortably,About the same,No,Yes,Yes,1.1371
Black,"Less than $25,000",Some college/technical or associates degree,18-24,Male,Just getting by,Somewhat better off,Yes,,No,1.3657
White,"$100,000 or more",Bachelor's degree or more,45-54,Male,Living comfortably,About the same,Yes,,Yes,0.7659
Hispanic,"Less than $25,000",Some college/technical or associates degree,25-34,Female,Doing okay,About the same,Yes,,Yes,1.0564
White,"$100,000 or more",Bachelor's degree or more,45-54,Male,Living comfortably,About the same,No,Yes,Yes,0.7163
White,"Less than $25,000",Less than a high school degree,35-44,Male,Finding it difficult to get by,Much worse off,No,No,No,2.2151
Asian,"$50,000–$99,999",Bachelor's degree or more,45-54,Female,Doing okay,Somewhat better off,Yes,,Yes,1.0912
White,"$100,000 or more",Bachelor's degree or more,55-64,Male,Living comfortably,Somewhat worse off,Yes,,Yes,0.7856
White,"$100,000 or more",Some college/technical or associates degree,45-54,Female,Just getting by,Much worse off,No,No,No,1.041
White,"Less than $25,000",Some college/technical or associates degree,55-64,Female,Finding it difficult to get by,Much worse off,No,No,No,0.6339
White,"$50,000–$99,999",High school degree or GED,65-74,Female,Living comfortably,About the same,Yes,,Yes,0.7818
White,"$25,000–$49,999",High school degree or GED,18-24,Male,Living comfortably,Somewhat better off,Yes,,Yes,1.5398
Asian,"$50,000–$99,999",Bachelor's degree or more,18-24,Male,Doing okay,About the same,Yes,,Yes,1.4421
Asian,"$50,000–$99,999",Bachelor's degree or more,25-34,Male,Living comfortably,Somewhat worse off,Yes,,Yes,1.2782
Hispanic,"Less than $25,000",High school degree or GED,35-44,Female,Living comfortably,About the same,No,No,Yes,1.1139
White,"$100,000 or more",Bachelor's degree or more,55-64,Male,Just getting by,Much worse off,Yes,,No,0.7438
Hispanic,"Less than $25,000",High school degree or GED,55-64,Male,Just getting by,Somewhat better off,No,No,No,0.6101
White,"$50,000–$99,999",Bachelor's degree or more,18-24,Male,Just getting by,Somewhat better off,Yes,,No,0.6321
Hispanic,"Less than $25,000",Less than a high school degree,35-44,Female,Just getting by,About the same,No,No,No,1.3646
White,"$100,000 or more",Bachelor's degree or more,55-64,Male,Living comfortably,Much better off,Yes,,Yes,0.7659
White,"$100,000 or more",Bachelor's degree or more,45-54,Female,Living comfortably,Somewhat better off,No,Yes,Yes,1.247
White,"$50,000–$99,999",Bachelor's degree or more,25-34,Female,Just getting by,Somewhat worse off,Yes,,No,1.4842
Black,"$50,000–$99,999",Bachelor's degree or more,35-44,Male,Just getting by,About the same,Yes,,No,0.8018
White,"$25,000–$49,999",Some college/technical or associates degree,25-34,Female,Just getting by,About the same,Yes,,No,1.5342
White,"$100,000 or more",Some college/technical or associates degree,25-34,Male,Doing okay,Somewhat better off,Yes,,Yes,0.8924
White,"$100,000 or more",Bachelor's degree or more,45-54,Female,Living comfortably,Somewhat worse off,Yes,,Yes,1.1371
White,"$50,000–$99,999",High school degree or GED,45-54,Male,Just getting by,Somewhat worse off,No,No,No,0.7892
Hispanic,"$100,000 or more",High school degree or GED,35-44,Female,Doing okay,Somewhat worse off,Yes,,Yes,2.2266
Hispanic,"Less than $25,000",Some college/technical or associates degree,35-44,Female,Doing okay,Much better off,No,No,Yes,1.8257
Other,"$25,000–$49,999",High school degree or GED,18-24,Female,Just getting by,About the same,No,No,No,0.7273
White,"$100,000 or more",Some college/technical or associates degree,65-74,Male,Living comfortably,About the same,Yes,,Yes,0.9806
White,"$25,000–$49,999",Less than a high school degree,65-74,Male,Doing okay,About the same,Yes,,Yes,1.0271
Black,"$50,000–$99,999",High school degree or GED,45-54,Male,Living comfortably,About the same,No,No,Yes,1.6847
White,"$25,000–$49,999",Some college/technical or associates degree,18-24,Female,Finding it difficult to get by,Much worse off,No,No,No,0.9902
White,"$25,000–$49,999",Some college/technical or associates degree,65-74,Male,Doing okay,About the same,No,No,Yes,0.6196
Hispanic,"Less than $25,000",Some college/technical or associates degree,25-34,Female,Finding it difficult to get by,Much worse off,No,Yes,No,1.358
White,"$100,000 or more",Bachelor's degree or more,55-64,Male,Living comfortably,Somewhat better off,No,Yes,Yes,0.6978
White,"$100,000 or more",Bachelor's degree or more,55-64,Female,Just getting by,About the same,No,Yes,No,1.2157
Black,"$50,000–$99,999",Some college/technical or associates degree,45-54,Female,Doing okay,Somewhat better off,Yes,,Yes,0.774
White,"$50,000–$99,999",Some college/technical or associates degree,45-54,Female,Doing okay,Somewhat worse off,Yes,,Yes,1.1754
White,"$50,000–$99,999",Bachelor's degree or more,55-64,Male,Doing okay,About the same,Yes,,Yes,0.7327
Asian,"$100,000 or more",Bachelor's degree or more,55-64,Male,Doing okay,Somewhat better off,Yes,,Yes,0.9718
White,"$100,000 or more",Some college/technical or associates degree,45-54,Male,Doing okay,About the same,No,Yes,Yes,1.0696
White,"$100,000 or more",Bachelor's degree or more,45-54,Female,Doing okay,Somewhat worse off,No,Yes,Yes,1.247
White,"Less than $25,000",Some college/technical or associates degree,18-24,Female,Doing okay,About the same,No,Yes,Yes,1.239
White,"$25,000–$49,999",Some college/technical or associates degree,18-24,Male,Just getting by,Somewhat worse off,No,No,No,1.6887
Hispanic,"$100,000 or more",Some college/technical or associates degree,55-64,Female,Living comfortably,About the same,Yes,,Yes,1.0863
White,"Less than $25,000",Bachelor's degree or more,18-24,Female,Finding it difficult to get by,Somewhat worse off,No,No,No,0.5977
White,"$100,000 or more",High school degree or GED,45-54,Female,Doing okay,About the same,Yes,,Yes,1.1109
Black,"$100,000 or more",Bachelor's degree or more,55-64,Male,Living comfortably,About the same,Yes,,Yes,0.8361
White,"$100,000 or more",Bachelor's degree or more,45-54,Male,Doing okay,Much worse off,No,No,Yes,0.7659
Black,"Less than $25,000",Some college/technical or associates degree,18-24,Male,Doing okay,About the same,Yes,,Yes,1.8409
White,"$50,000–$99,999",Some college/technical or associates degree,18-24,Male,Doing okay,Somewhat better off,No,Yes,Yes,1.9331
Black,"Less than $25,000",Less than a high school degree,45-54,Female,Finding it difficult to get by,Much worse off,No,Yes,No,1.0197
White,"Less than $25,000",Some college/technical or associates degree,18-24,Female,Doing okay,Somewhat worse off,No,Yes,Yes,1.086
White,"$100,000 or more",Bachelor's degree or more,25-34,Male,Living comfortably,Somewhat better off,Yes,,Yes,0.7291
Asian,"$25,000–$49,999",Some college/technical or associates degree,18-24,Male,Doing okay,Somewhat worse off,No,No,Yes,3.1187
White,"$100,000 or more",Bachelor's degree or more,55-64,Male,Doing okay,Somewhat worse off,Yes,,Yes,0.6324
White,"$100,000 or more",Bachelor's degree or more,45-54,Male,Doing okay,Somewhat worse off,No,Yes,Yes,0.7163
Hispanic,"$100,000 or more",Bachelor's degree or more,55-64,Male,Living comfortably,Somewhat better off,Yes,,Yes,0.7905
White,"$100,000 or more",High school degree or GED,55-64,Male,Living comfortably,About the same,Yes,,Yes,1.4376
White,"$100,000 or more",Bachelor's degree or more,55-64,Female,Doing okay,About the same,No,No,Yes,1.0071
Asian,"$100,000 or more",Bachelor's degree or more,55-64,Male,Doing okay,Somewhat better off,Yes,,Yes,1.1006
White,"$100,000 or more",Some college/technical or associates degree,45-54,Female,Living comfortably,About the same,Yes,,Yes,0.8264
Black,"$100,000 or more",Bachelor's degree or more,25-34,Female,Living comfortably,About the same,Yes,,Yes,1.0195
Black,"Less than $25,000",Bachelor's degree or more,55-64,Female,Finding it difficult to get by,Somewhat worse off,No,No,No,0.6713
White,"$25,000–$49,999",High school degree or GED,55-64,Male,Finding it difficult to get by,Somewhat worse off,Yes,,No,0.6589
Asian,"$100,000 or more",Bachelor's degree or more,25-34,Male,Doing okay,Much better off,Yes,,Yes,0.9951
White,"$100,000 or more",Bachelor's degree or more,55-64,Female,Doing okay,Somewhat worse off,No,Yes,Yes,1.247
White,"Less than $25,000",Some college/technical or associates degree,18-24,Female,Living comfortably,About the same,Yes,,Yes,1.2709
Black,"$50,000–$99,999",Some college/technical or associates degree,35-44,Female,Doing okay,About the same,No,No,Yes,1.179
White,"$25,000–$49,999",Bachelor's degree or more,25-34,Female,Doing okay,About the same,No,No,Yes,0.809
Black,"$25,000–$49,999",High school degree or GED,25-34,Female,Doing okay,Somewhat better off,No,No,Yes,1.242
White,"$100,000 or more",Some college/technical or associates degree,35-44,Female,Just getting by,About the same,No,No,No,1.1046
White,"$50,000–$99,999",Bachelor's degree or more,45-54,Male,Just getting by,Somewhat worse off,No,Yes,No,0.5421
White,"$100,000 or more",High school degree or GED,45-54,Female,Doing okay,About the same,No,Yes,Yes,1.2184
Hispanic,"Less than $25,000",Some college/technical or associates degree,45-54,Male,Just getting by,Somewhat better off,Yes,,No,1.503
White,"$100,000 or more",Bachelor's degree or more,45-54,Male,Living comfortably,About the same,Yes,,Yes,0.7856
White,"$50,000–$99,999",Less than a high school degree,35-44,Female,Finding it difficult to get by,Much worse off,No,No,No,1.5522
White,"$100,000 or more",Some college/technical or associates degree,55-64,Male,Living comfortably,Much better off,Yes,,Yes,0.92
White,"$25,000–$49,999",High school degree or GED,25-34,Female,Just getting by,Somewhat worse off,No,No,No,1.0341
Black,"$25,000–$49,999",High school degree or GED,25-34,Female,Doing okay,About the same,Yes,,Yes,1.1795
White,"Less than $25,000",High school degree or GED,55-64,Female,Finding it difficult to get by,Somewhat worse off,Yes,,No,0.9913
Other,"$25,000–$49,999",High school degree or GED,55-64,Female,Just getting by,Somewhat worse off,No,No,No,1.9894
Black,"$50,000–$99,999",Bachelor's degree or more,18-24,Female,Living comfortably,Much better off,No,Yes,Yes,1.1623
Asian,"$50,000–$99,999",Bachelor's degree or more,18-24,Male,Doing okay,About the same,Yes,,Yes,1.1203
White,"$50,000–$99,999",Some college/technical or associates degree,55-64,Male,Just getting by,About the same,No,No,No,0.6408
Hispanic,"$100,000 or more",Some college/technical or associates degree,45-54,Female,Doing okay,About the same,No,Yes,Yes,1.2849
White,"$50,000–$99,999",Some college/technical or associates degree,35-44,Male,Just getting by,Somewhat better off,Yes,,No,1.1249
Black,"$50,000–$99,999",Bachelor's degree or more,55-64,Female,Living comfortably,Somewhat better off,Yes,,Yes,0.8351
White,"Less than $25,000",Some college/technical or associates degree,18-24,Female,Doing okay,About the same,Yes,,Yes,1.239
White,"$50,000–$99,999",Bachelor's degree or more,18-24,Male,Just getting by,About the same,Yes,,No,0.7103
White,"$100,000 or more",Bachelor's degree or more,45-54,Female,Finding it difficult to get by,Much worse off,No,No,No,0.9818
White,"$100,000 or more",Bachelor's degree or more,45-54,Female,Living comfortably,Somewhat worse off,Yes,,Yes,1.247
White,"$100,000 or more",Bachelor's degree or more,55-64,Male,Living comfortably,Somewhat better off,Yes,,Yes,0.6762
White,"$100,000 or more",Bachelor's degree or more,25-34,Male,Doing okay,Somewhat better off,No,Yes,Yes,0.8313
White,"$100,000 or more",Bachelor's degree or more,55-64,Male,Just getting by,About the same,Yes,,No,0.5461
White,"$50,000–$99,999",Bachelor's degree or more,45-54,Male,Living comfortably,Somewhat better off,Yes,,Yes,0.6344
White,"$100,000 or more",Some college/technical or associates degree,25-34,Male,Living comfortably,Much better off,Yes,,Yes,1.3929
White,"$100,000 or more",Some college/technical or associates degree,45-54,Female,Living comfortably,About the same,Yes,,Yes,1.1451
Hispanic,"$25,000–$49,999",Less than a high school degree,45-54,Male,Finding it difficult to get by,Much worse off,No,No,No,2.0131
Other,"$100,000 or more",Some college/technical or associates degree,65-74,Female,Living comfortably,Much better off,Yes,,Yes,0.3614
White,"Less than $25,000",Some college/technical or associates degree,35-44,Female,Just getting by,About the same,No,No,No,0.7696
Other,"Less than $25,000",Bachelor's degree or more,18-24,Female,Living comfortably,About the same,Yes,,Yes,0.3486
White,"$100,000 or more",Bachelor's degree or more,55-64,Male,Living comfortably,Somewhat better off,Yes,,Yes,0.6936
White,"$25,000–$49,999",Bachelor's degree or more,18-24,Female,Doing okay,About the same,Yes,,Yes,1.2294
Black,"$50,000–$99,999",Bachelor's degree or more,25-34,Female,Living comfortably,About the same,Yes,,Yes,1.1393
White,"$50,000–$99,999",Some college/technical or associates degree,55-64,Male,Just getting by,About the same,No,No,No,0.8415
White,"$50,000–$99,999",Bachelor's degree or more,55-64,Male,Doing okay,About the same,Yes,,Yes,0.4447
Hispanic,"Less than $25,000",Some college/technical or associates degree,35-44,Male,Doing okay,Somewhat better off,No,No,Yes,0.6132
Black,"Less than $25,000",Bachelor's degree or more,25-34,Female,Doing okay,Much better off,No,No,Yes,1.1004
Hispanic,"Less than $25,000",High school degree or GED,25-34,Female,Living comfortably,Somewhat worse off,No,No,Yes,1.5232
White,"$100,000 or more",Some college/technical or associates degree,55-64,Male,Just getting by,Somewhat worse off,No,Yes,No,1.042
White,"Less than $25,000",Some college/technical or associates degree,18-24,Male,Finding it difficult to get by,Somewhat worse off,No,Yes,No,1.0607
Black,"$25,000–$49,999",High school degree or GED,25-34,Female,Just getting by,About the same,No,No,No,1.2077
White,"Less than $25,000",Some college/technical or associates degree,45-54,Female,Finding it difficult to get by,Much worse off,No,No,No,0.6767
White,"$100,000 or more",Bachelor's degree or more,55-64,Female,Living comfortably,About the same,Yes,,Yes,1.2157
Asian,"Less than $25,000",Bachelor's degree or more,18-24,Male,Doing okay,Somewhat worse off,Yes,,Yes,0.9469
White,"$100,000 or more",Some college/technical or associates degree,45-54,Female,Doing okay,About the same,No,Yes,Yes,1.2567
Black,"$100,000 or more",Some college/technical or associates degree,45-54,Female,Living comfortably,About the same,Yes,,Yes,1.1906
White,"$25,000–$49,999",Some college/technical or associates degree,45-54,Male,Just getting by,About the same,No,Yes,No,0.6682
White,"Less than $25,000",Bachelor's degree or more,18-24,Male,Doing okay,About the same,No,Yes,Yes,1.0566
White,"$100,000 or more",High school degree or GED,55-64,Female,Living comfortably,Somewhat worse off,Yes,,Yes,1.3756
White,"Less than $25,000",High school degree or GED,18-24,Male,Living comfortably,Much better off,No,No,Yes,1.7229
White,"$25,000–$49,999",Bachelor's degree or more,25-34,Male,Doing okay,About the same,No,Yes,Yes,0.7103
White,"$100,000 or more",Bachelor's degree or more,55-64,Female,Living comfortably,About the same,Yes,,Yes,1.0543
White,"$25,000–$49,999",Some college/technical or associates degree,18-24,Male,Doing okay,Somewhat better off,Yes,,Yes,1.2167
White,"$100,000 or more",Bachelor's degree or more,55-64,Female,Living comfortably,About the same,Yes,,Yes,1.8255
Black,"Less than $25,000",Some college/technical or associates degree,35-44,Female,Doing okay,About the same,Yes,,Yes,0.9467
Black,"$50,000–$99,999",Some college/technical or associates degree,45-54,Female,Just getting by,About the same,No,No,No,1.4374
White,"Less than $25,000",Some college/technical or associates degree,45-54,Male,Finding it difficult to get by,Much worse off,No,No,No,0.8333
White,"$100,000 or more",Bachelor's degree or more,45-54,Male,Doing okay,Much worse off,No,No,Yes,0.7856
White,"$25,000–$49,999",Some college/technical or associates degree,65-74,Male,Living comfortably,Somewhat worse off,Yes,,Yes,0.6041
White,"$50,000–$99,999",High school degree or GED,45-54,Male,Doing okay,Somewhat better off,Yes,,Yes,1.5873
White,"$100,000 or more",High school degree or GED,45-54,Female,Doing okay,Somewhat worse off,No,Yes,Yes,1.3401
White,"$100,000 or more",Some college/technical or associates degree,45-54,Female,Just getting by,Somewhat worse off,No,No,No,1.1451
White,"$100,000 or more",Some college/technical or associates degree,45-54,Male,Finding it difficult to get by,Much worse off,No,Yes,No,0.8415
White,"$100,000 or more",Bachelor's degree or more,55-64,Male,Living comfortably,Somewhat better off,Yes,,Yes,0.7659
Hispanic,"$50,000–$99,999",High school degree or GED,55-64,Female,Doing okay,Somewhat worse off,No,Yes,Yes,1.2635
White,"Less than $25,000",Some college/technical or associates degree,18-24,Female,Doing okay,Somewhat worse off,No,No,Yes,0.9829
White,"$100,000 or more",Bachelor's degree or more,45-54,Female,Doing okay,Somewhat worse off,Yes,,Yes,1.1371
White,"$50,000–$99,999",Some college/technical or associates degree,55-64,Male,Doing okay,About the same,Yes,,Yes,0.9236
White,"$25,000–$49,999",Some college/technical or associates degree,35-44,Female,Just getting by,Somewhat worse off,No,No,No,0.9212
Asian,"$100,000 or more",Some college/technical or associates degree,45-54,Female,Doing okay,About the same,No,No,Yes,1.8762
White,"$100,000 or more",Bachelor's degree or more,55-64,Male,Doing okay,About the same,No,Yes,Yes,0.6936
Asian,"Less than $25,000",Bachelor's degree or more,18-24,Female,Just getting by,Somewhat better off,No,No,No,1.0915
White,"$50,000–$99,999",Bachelor's degree or more,55-64,Female,Living comfortably,About the same,Yes,,Yes,0.9182
White,"$25,000–$49,999",High school degree or GED,25-34,Male,Doing okay,About the same,Yes,,Yes,1.0808
Black,"Less than $25,000",High school degree or GED,55-64,Male,Doing okay,About the same,No,No,Yes,0.9426
White,"$50,000–$99,999",Bachelor's degree or more,55-64,Female,Doing okay,About the same,Yes,,Yes,0.6634
White,"Less than $25,000",High school degree or GED,18-24,Female,Finding it difficult to get by,About the same,No,No,No,1.0491
White,"$50,000–$99,999",Some college/technical or associates degree,35-44,Female,Doing okay,About the same,No,Yes,Yes,1.1338
White,"$25,000–$49,999",Some college/technical or associates degree,55-64,Female,Just getting by,About the same,No,No,No,0.7301
White,"$100,000 or more",High school degree or GED,55-64,Male,Just getting by,Somewhat worse off,No,No,No,1.4376
White,"Less than $25,000",Some college/technical or associates degree,18-24,Male,Doing okay,About the same,No,Yes,Yes,1.2742
White,"$100,000 or more",High school degree or GED,55-64,Male,Finding it difficult to get by,Much worse off,Yes,,No,0.998
White,"$50,000–$99,999",Bachelor's degree or more,55-64,Male,Doing okay,About the same,Yes,,Yes,0.6936
White,"$100,000 or more",Some college/technical or associates degree,25-34,Male,Just getting by,Somewhat worse off,No,No,No,1.1538
Hispanic,"$50,000–$99,999",High school degree or GED,45-54,Female,Doing okay,About the same,No,No,Yes,2.0999
White,"$100,000 or more",Bachelor's degree or more,45-54,Female,Living comfortably,About the same,No,Yes,Yes,1.1806
White,"Less than $25,000",Some college/technical or associates degree,18-24,Female,Living comfortably,About the same,No,Yes,Yes,0.9902
Black,"$100,000 or more",Bachelor's degree or more,55-64,Female,Doing okay,Somewhat better off,Yes,,Yes,0.9773
White,"$50,000–$99,999",Some college/technical or associates degree,55-64,Male,Just getting by,Somewhat worse off,No,No,No,1.1731
White,"$50,000–$99,999",Less than a high school degree,45-54,Male,Doing okay,Somewhat worse off,Yes,,Yes,1.3763
White,"$25,000–$49,999",High school degree or GED,35-44,Female,Just getting by,About the same,No,No,No,1.2042
Black,"$25,000–$49,999",Some college/technical or associates degree,65-74,Male,Doing okay,Somewhat better off,No,No,Yes,0.7595
White,"Less than $25,000",Less than a high school degree,18-24,Female,Living comfortably,About the same,No,No,Yes,2.1361
White,"$100,000 or more",Bachelor's degree or more,55-64,Male,Living comfortably,About the same,Yes,,Yes,0.748
White,"Less than $25,000",Some college/technical or associates degree,25-34,Female,Doing okay,About the same,No,No,Yes,0.7509
White,"$100,000 or more",Bachelor's degree or more,45-54,Male,Finding it difficult to get by,About the same,No,No,No,0.4861
White,"$100,000 or more",Bachelor's degree or more,45-54,Female,Living comfortably,About the same,Yes,,Yes,0.9554
White,"$100,000 or more",Bachelor's degree or more,65-74,Male,Living comfortably,Somewhat worse off,Yes,,Yes,0.6324
White,"$50,000–$99,999",High school degree or GED,25-34,Male,Doing okay,About the same,No,No,Yes,1.3944
White,"$50,000–$99,999",Some college/technical or associates degree,55-64,Male,Living comfortably,Somewhat better off,Yes,,Yes,0.8248
White,"$50,000–$99,999",Bachelor's degree or more,45-54,Female,Doing okay,About the same,No,Yes,Yes,0.8301
White,"$50,000–$99,999",Some college/technical or associates degree,18-24,Male,Doing okay,Somewhat worse off,No,Yes,Yes,1.6383
White,"$100,000 or more",Bachelor's degree or more,55-64,Female,Living comfortably,Somewhat worse off,Yes,,Yes,1.247
White,"Less than $25,000",Some college/technical or associates degree,18-24,Male,Doing okay,About the same,Yes,,Yes,1.3974
White,"$50,000–$99,999",Some college/technical or associates degree,35-44,Male,Finding it difficult to get by,Much worse off,No,No,No,0.9388
White,"$25,000–$49,999",High school degree or GED,25-34,Male,Finding it difficult to get by,Somewhat worse off,No,No,No,1.2714
White,"$100,000 or more",Some college/technical or associates degree,55-64,Female,Doing okay,Somewhat worse off,No,No,Yes,0.9247
White,"$100,000 or more",Bachelor's degree or more,45-54,Female,Living comfortably,Much better off,Yes,,Yes,1.1077
White,"$100,000 or more",Bachelor's degree or more,35-44,Male,Just getting by,About the same,No,Yes,No,0.8724
White,"$50,000–$99,999",Some college/technical or associates degree,35-44,Female,Doing okay,Somewhat worse off,No,No,Yes,0.9617
Black,"$50,000–$99,999",Some college/technical or associates degree,45-54,Female,Doing okay,About the same,No,No,Yes,1.1906
White,"$50,000–$99,999",High school degree or GED,65-74,Male,Living comfortably,About the same,Yes,,Yes,0.8812
Hispanic,"Less than $25,000",Some college/technical or associates degree,45-54,Female,Just getting by,Somewhat worse off,No,No,No,0.6745
Hispanic,"$100,000 or more",Bachelor's degree or more,35-44,Male,Living comfortably,Much better off,Yes,,Yes,0.8553
Black,"$100,000 or more",High school degree or GED,35-44,Male,Doing okay,Somewhat better off,No,No,Yes,1.0282
White,"Less than $25,000",Less than a high school degree,35-44,Female,Just getting by,About the same,No,No,No,1.0294
White,"$50,000–$99,999",Some college/technical or associates degree,35-44,Male,Doing okay,About the same,No,Yes,Yes,1.0683
White,"$100,000 or more",High school degree or GED,55-64,Male,Living comfortably,About the same,Yes,,Yes,1.5873
Black,"Less than $25,000",High school degree or GED,25-34,Male,Just getting by,Somewhat worse off,No,No,No,1.9789
White,"$25,000–$49,999",Bachelor's degree or more,18-24,Male,Doing okay,About the same,No,No,Yes,1.0294
Hispanic,"Less than $25,000",Less than a high school degree,45-54,Male,Doing okay,Somewhat worse off,Yes,,Yes,1.3531
Hispanic,"$25,000–$49,999",Less than a high school degree,55-64,Female,Finding it difficult to get by,Much worse off,Yes,,No,1.8653
White,"$100,000 or more",Bachelor's degree or more,45-54,Female,Living comfortably,About the same,Yes,,Yes,1.1077
White,"$100,000 or more",Bachelor's degree or more,55-64,Male,Living comfortably,Much better off,Yes,,Yes,0.7163
White,"$50,000–$99,999",Some college/technical or associates degree,45-54,Male,Just getting by,Much worse off,No,No,No,0.7381
Asian,"$50,000–$99,999",Bachelor's degree or more,45-54,Female,Doing okay,About the same,Yes,,Yes,1.2533
Black,"$25,000–$49,999",Some college/technical or associates degree,18-24,Female,Living comfortably,Somewhat worse off,No,No,Yes,1.2656
White,"Less than $25,000",Some college/technical or associates degree,18-24,Female,Finding it difficult to get by,Much worse off,Yes,,No,0.8913
Black,"$50,000–$99,999",Some college/technical or associates degree,25-34,Male,Just getting by,Somewhat better off,No,No,No,1.3657
White,"Less than $25,000",Bachelor's degree or more,18-24,Male,Living comfortably,About the same,No,No,Yes,0.8533
